ip,alive,mac,open_ports,banners,http,tls
10.6.3.73,True,,"80,139,443,445,3306","{""3306"": ""D\u0000\u0000\u0000j\u0004Host '10.6.3.56' is not allowed to connect to this MariaDB server""}","{""server"": ""Apache/2.4.58 (Win64) OpenSSL/3.1.3 PHP/8.2.12"", ""x_powered_by"": """", ""robots_txt"": false, ""status_code"": 200}","{""valid"": null, ""expires_in_days"": null, ""notAfter"": null}"
10.6.3.59,True,,"139,445,3306,3389,5900","{""5900"": ""RFB 003.008""}",{},{}
10.6.3.56,True,,"80,5900","{""5900"": ""RFB 003.889""}","{""server"": ""Apache/2.4.59 (Unix)"", ""x_powered_by"": """", ""robots_txt"": false, ""status_code"": 200}",{}
10.6.3.57,True,,"80,3306","{""3306"": ""P\u0000\u0000\u0000j\u0004Le h\u00f4te '10.6.3.56' n'est pas authoris\u00e9 \u00e0 se connecter \u00e0 ce serveur MySQL""}","{""server"": ""Apache/2.4.62 (Win64) PHP/8.4.0 mod_fcgid/2.3.10-dev"", ""x_powered_by"": """", ""robots_txt"": false, ""status_code"": 403}",{}
10.6.3.250,True,,80,{},"{""server"": ""Apache/2.4.62 (Unix)"", ""x_powered_by"": """", ""robots_txt"": false, ""status_code"": 200}",{}
10.6.3.81,True,,"139,445",{},{},{}
10.6.3.65,True,,"139,445",{},{},{}
10.6.3.75,True,,"139,445",{},{},{}
10.6.3.20,True,,,{},{},{}
10.6.3.33,True,,,{},{},{}
10.6.3.35,True,,,{},{},{}
10.6.3.49,True,,,{},{},{}
10.6.3.54,True,,,{},{},{}
10.6.3.69,True,,,{},{},{}
10.6.3.70,True,,,{},{},{}
10.6.3.72,True,,,{},{},{}
10.6.3.76,True,,,{},{},{}
10.6.3.82,True,,,{},{},{}
10.6.3.84,True,,,{},{},{}
10.6.3.83,True,,,{},{},{}
10.6.3.67,True,,,{},{},{}
10.6.3.74,True,,,{},{},{}
10.6.3.233,True,,,{},{},{}
10.6.3.241,True,,,{},{},{}
10.6.3.248,True,,,{},{},{}
10.6.3.232,True,,,{},{},{}
10.6.3.4,False,,,"""""",{},{}
10.6.3.3,False,,,"""""",{},{}
10.6.3.1,False,,,"""""",{},{}
10.6.3.2,False,,,"""""",{},{}
10.6.3.6,False,,,"""""",{},{}
10.6.3.9,False,,,"""""",{},{}
10.6.3.10,False,,,"""""",{},{}
10.6.3.5,False,,,"""""",{},{}
10.6.3.8,False,,,"""""",{},{}
10.6.3.7,False,,,"""""",{},{}
10.6.3.11,False,,,"""""",{},{}
10.6.3.12,False,,,"""""",{},{}
10.6.3.13,False,,,"""""",{},{}
10.6.3.15,False,,,"""""",{},{}
10.6.3.14,False,,,"""""",{},{}
10.6.3.16,False,,,"""""",{},{}
10.6.3.17,False,,,"""""",{},{}
10.6.3.18,False,,,"""""",{},{}
10.6.3.19,False,,,"""""",{},{}
10.6.3.21,False,,,"""""",{},{}
10.6.3.22,False,,,"""""",{},{}
10.6.3.23,False,,,"""""",{},{}
10.6.3.24,False,,,"""""",{},{}
10.6.3.26,False,,,"""""",{},{}
10.6.3.25,False,,,"""""",{},{}
10.6.3.28,False,,,"""""",{},{}
10.6.3.27,False,,,"""""",{},{}
10.6.3.29,False,,,"""""",{},{}
10.6.3.30,False,,,"""""",{},{}
10.6.3.31,False,,,"""""",{},{}
10.6.3.32,False,,,"""""",{},{}
10.6.3.34,False,,,"""""",{},{}
10.6.3.37,False,,,"""""",{},{}
10.6.3.36,False,,,"""""",{},{}
10.6.3.38,False,,,"""""",{},{}
10.6.3.40,False,,,"""""",{},{}
10.6.3.39,False,,,"""""",{},{}
10.6.3.41,False,,,"""""",{},{}
10.6.3.42,False,,,"""""",{},{}
10.6.3.43,False,,,"""""",{},{}
10.6.3.44,False,,,"""""",{},{}
10.6.3.45,False,,,"""""",{},{}
10.6.3.46,False,,,"""""",{},{}
10.6.3.48,False,,,"""""",{},{}
10.6.3.50,False,,,"""""",{},{}
10.6.3.47,False,,,"""""",{},{}
10.6.3.51,False,,,"""""",{},{}
10.6.3.52,False,,,"""""",{},{}
10.6.3.53,False,,,"""""",{},{}
10.6.3.55,False,,,"""""",{},{}
10.6.3.58,False,,,"""""",{},{}
10.6.3.60,False,,,"""""",{},{}
10.6.3.61,False,,,"""""",{},{}
10.6.3.62,False,,,"""""",{},{}
10.6.3.63,False,,,"""""",{},{}
10.6.3.64,False,,,"""""",{},{}
10.6.3.66,False,,,"""""",{},{}
10.6.3.68,False,,,"""""",{},{}
10.6.3.71,False,,,"""""",{},{}
10.6.3.77,False,,,"""""",{},{}
10.6.3.78,False,,,"""""",{},{}
10.6.3.79,False,,,"""""",{},{}
10.6.3.80,False,,,"""""",{},{}
10.6.3.85,False,,,"""""",{},{}
10.6.3.86,False,,,"""""",{},{}
10.6.3.87,False,,,"""""",{},{}
